Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,GridRefXY,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,,,Latitude,Longitude
143,322,"http://www.streetmap.co.uk/map?X=220774&Y=774515&SV=220774,774515&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20774 74515,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=322,Aonach Mor - Tom na Sroine,NN 20774 74515,4,04A,918.7,3014,41,392,NN207745,220774,774515,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,220774,774515,56.827455,-4.9387964
144,282,"http://www.streetmap.co.uk/map?X=217748&Y=772172&SV=217748,772172&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17748 72172,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=282,Carn Mor Dearg,NN 17748 72172,4,04A,1220,4003,41,392,NN177721,217748,772172,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,217748,772172,56.805259,-4.9866369
145,284,"http://www.streetmap.co.uk/map?X=217596&Y=772686&SV=217596,772686&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17596 72686,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=284,Carn Mor Dearg - Carn Dearg Meadhonach,NN 17596 72686,4,04A,1179,3868,41,392,NN175726,217596,772686,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,217596,772686,56.809811,-4.9894899
146,307,"http://www.streetmap.co.uk/map?X=217146&Y=773596&SV=217146,773596&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17146 73596,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=307,Carn Mor Dearg - Carn Beag Dearg,NN 17146 73596,4,04A,1010,3314,41,392,NN171735,217146,773596,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,217146,773596,56.817798,-4.997502
147,296,"http://www.streetmap.co.uk/map?X=222771&Y=771419&SV=222771,771419&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 22771 71419,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=296,Sgurr Choinnich Mor,NN 22771 71419,4,04A,1094,3589,41,392,NN227714,222771,771419,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,222771,771419,56.800444,-4.9039663
148,317,"http://www.streetmap.co.uk/map?X=222017&Y=771037&SV=222017,771037&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 22017 71037,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=317,Sgurr Choinnich Mor - Sgurr Choinnich Beag,NN 22017 71037,4,04A,963,3159,41,392,NN220710,222017,771037,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,222017,771037,56.796729,-4.9160296
149,289,"http://www.streetmap.co.uk/map?X=223984&Y=772532&SV=223984,772532&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23984 72532,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=289,Stob Coire an Laoigh,NN 23984 72532,4,04A,1116,3661,41,392,NN239725,223984,772532,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,223984,772532,56.81089,-4.8848981
150,291,"http://www.streetmap.co.uk/map?X=224664&Y=772938&SV=224664,772938&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 24664 72938,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=291,Stob Coire an Laoigh - Caisteal,NN 24664 72938,4,04A,1106,3629,41,392,NN246729,224664,772938,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,224664,772938,56.81479,-4.8740541
151,297,"http://www.streetmap.co.uk/map?X=223475&Y=772737&SV=223475,772737&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23475 72737,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=297,Stob Coire an Laoigh - Stob Coire Easain,NN 23475 72737,4,04A,1080,3543,41,392,NN234727,223475,772737,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,223475,772737,56.812537,-4.8933657
152,298,"http://www.streetmap.co.uk/map?X=225234&Y=773051&SV=225234,773051&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 25234 73051,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=298,Stob Coire an Laoigh - Stob Coire Cath na Sine,NN 25234 73051,4,04A,1082.4,3551,41,392,NN252730,225234,773051,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,225234,773051,56.816018,-4.8648068
153,306,"http://www.streetmap.co.uk/map?X=223629&Y=773484&SV=223629,773484&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23629 73484,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=306,Stob Coire an Laoigh - Beinn na Socaich,NN 23629 73484,4,04A,1007,3304,41,392,NN236734,223629,773484,TOP,,,,,,TOP,TOP,TOP,TOP,TOP,223629,773484,56.819297,-4.8913632
154,285,"http://www.streetmap.co.uk/map?X=226196&Y=773878&SV=226196,773878&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26196 73878,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=285,Stob Choire Claurigh,NN 26196 73878,4,04A,1177,3862,41,392,NN261738,226196,773878,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,226196,773878,56.823799,-4.8496323
155,286,"http://www.streetmap.co.uk/map?X=226233&Y=774279&SV=226233,774279&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26233 74279,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=286,Stob Choire Claurigh North Top,NN 26233 74279,4,04A,1121,3678,41,392,NN262742,226233,774279,,TOP,TOP,TOP,TOP,TOP,,,,,,226233,774279,56.827411,-4.8493002
156,288,"http://www.streetmap.co.uk/map?X=226780&Y=774590&SV=226780,774590&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26780 74590,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=288,Stob Choire Claurigh - Stob Coire na Ceannain,NN 26780 74590,4,04A,1123,3684,41,392,NN267745,226780,774590,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,226780,774590,56.830405,-4.8405599
157,293,"http://www.streetmap.co.uk/map?X=225675&Y=773663&SV=225675,773663&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 25675 73663,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=293,Stob Choire Claurigh - Stob a' Choire Leith,NN 25675 73663,4,04A,1105,3625,41,392,NN256736,225675,773663,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,225675,773663,56.821675,-4.8580105
158,318,"http://www.streetmap.co.uk/map?X=226093&Y=775715&SV=226093,775715&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26093 75715,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=318,Stob Choire Claurigh - Stob Coire Gaibhre [Stob Coire na Gaibhre],NN 26093 75715,4,04A,958,3143,41,392,NN260757,226093,775715,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,226093,775715,56.840243,-4.8525716
159,314,"http://www.streetmap.co.uk/map?X=226669&Y=772395&SV=226669,772395&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26669 72395,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=314,Stob Ban,NN 26669 72395,4,04A,977,3205,41,392,NN266723,226669,772395,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,226669,772395,56.81067,-4.8408844
160,290,"http://www.streetmap.co.uk/map?X=230802&Y=773066&SV=230802,773066&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 30802 73066,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=290,Stob Coire Easain,NN 30802 73066,4,04A,1115,3658,41,392,NN308730,230802,773066,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,230802,773066,56.818212,-4.7737196
161,292,"http://www.streetmap.co.uk/map?X=231652&Y=773643&SV=231652,773643&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 31652 73643,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=292,Stob a' Choire Mheadhoin,NN 31652 73643,4,04A,1105,3625,41,392,NN316736,231652,773643,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,231652,773643,56.823698,-4.7601927
162,305,"http://www.streetmap.co.uk/map?X=223054&Y=765788&SV=223054,765788&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23054 65788,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=305,Sgurr Eilde Mor,NN 23054 65788,4,04A,1010,3314,41,392,NN230657,223054,765788,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,223054,765788,56.75003,-4.8954422
163,320,"http://www.streetmap.co.uk/map?X=222173&Y=767714&SV=222173,767714&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 22173 67714,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=320,Binnein Beag,NN 22173 67714,4,04A,943,3094,41,392,NN221677,222173,767714,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,222173,767714,56.766975,-4.9111672
164,287,"http://www.streetmap.co.uk/map?X=221219&Y=766352&SV=221219,766352&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 21219 66352,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=287,Binnein Mor,NN 21219 66352,4,04A,1130,3707,41,392,NN212663,221219,766352,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,221219,766352,56.75439,-4.9258019
165,300,"http://www.streetmap.co.uk/map?X=221107&Y=765695&SV=221107,765695&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 21107 65695,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=300,Binnein Mor South Top,NN 21107 65695,4,04A,1062,3484,41,392,NN211656,221107,765695,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,221107,765695,56.748453,-4.9271722
166,319,"http://www.streetmap.co.uk/map?X=221963&Y=765300&SV=221963,765300&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 21963 65300,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=319,Binnein Mor - Sgor Eilde Beag,NN 21963 65300,4,04A,955.7,3135,41,392,NN219653,221963,765300,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,221963,765300,56.745236,-4.9129195
167,301,"http://www.streetmap.co.uk/map?X=220307&Y=765200&SV=220307,765200&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20307 65200,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=301,Na Gruagaichean,NN 20307 65200,4,04A,1054.3,3459,41,392,NN203652,220307,765200,TOP,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,220307,765200,56.743704,-4.9398885
168,302,"http://www.streetmap.co.uk/map?X=220105&Y=765440&SV=220105,765440&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20105 65440,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=302,Na Gruagaichean NW Top,NN 20105 65440,4,04A,1038.8,3408,41,392,NN201654,220105,765440,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,220105,765440,56.745779,-4.9433551
169,312,"http://www.streetmap.co.uk/map?X=218770&Y=766992&SV=218770,766992&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 18770 66992,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=312,An Gearanach,NN 18770 66992,4,04A,981.5,3220,41,392,NN187669,218770,766992,MUN,TOP,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,218770,766992,56.759186,-4.966251
170,315,"http://www.streetmap.co.uk/map?X=218819&Y=766569&SV=218819,766569&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 18819 66569,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=315,An Gearanach - An Garbhanach,NN 18819 66569,4,04A,974.9,3198,41,392,NN188665,218819,766569,TOP,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,218819,766569,56.75541,-4.9651513
171,313,"http://www.streetmap.co.uk/map?X=218561&Y=766063&SV=218561,766063&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 18561 66063,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=313,Stob Coire a' Chairn,NN 18561 66063,4,04A,981.3,3219,41,392,NN185660,218561,766063,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,218561,766063,56.75077,-4.9690064
172,303,"http://www.streetmap.co.uk/map?X=217637&Y=765097&SV=217637,765097&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17637 65097,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=303,Am Bodach,NN 17637 65097,4,04A,1031.8,3385,41,392,NN176650,217637,765097,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,217637,765097,56.741744,-4.9834075
173,308,"http://www.streetmap.co.uk/map?X=216521&Y=765512&SV=216521,765512&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 16521 65512,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=308,Sgurr a' Mhaim - Sgurr an Iubhair [Sgor an Iubhair],NN 16521 65512,4,04A,999.7,3280,41,392,NN165655,216521,765512,TOP,TOP,TOP,TOP,TOP,TOP,MUN,MUN,MUN,TOP,TOP,216521,765512,56.745029,-5.0019239
174,310,"http://www.streetmap.co.uk/map?X=216329&Y=766001&SV=216329,766001&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 16329 66001,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=310,Sgurr a' Mhaim - Stob Choire a' Mhail,NN 16329 66001,4,04A,990,3248,41,392,NN163660,216329,766001,,,,,,,TOP,TOP,TOP,TOP,TOP,216329,766001,56.74934,-5.0054092
175,295,"http://www.streetmap.co.uk/map?X=216465&Y=766730&SV=216465,766730&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 16465 66730,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=295,Sgurr a' Mhaim,NN 16465 66730,4,04A,1099,3606,41,392,NN164667,216465,766730,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,216465,766730,56.755934,-5.0037109
176,309,"http://www.streetmap.co.uk/map?X=214777&Y=765443&SV=214777,765443&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 14777 65443,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=309,Stob Ban,NN 14777 65443,4,04A,999.7,3280,41,392,NN147654,214777,765443,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,214777,765443,56.743721,-5.0303475
177,321,"http://www.streetmap.co.uk/map?X=212233&Y=766243&SV=212233,766243&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 12233 66243,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=321,Mullach nan Coirean,NN 12233 66243,4,04A,939.3,3082,41,392,NN122662,212233,766243,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,212233,766243,56.74988,-5.0724655
178,323,"http://www.streetmap.co.uk/map?X=213125&Y=765472&SV=213125,765472&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 13125 65472,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=323,Mullach nan Coirean SE Top,NN 13125 65472,4,04A,917.5,3010,41,392,NN131654,213125,765472,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,213125,765472,56.743322,-5.0573384
179,324,"http://www.streetmap.co.uk/map?X=213731&Y=765600&SV=213731,765600&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 13731 65600,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=324,Mullach nan Coirean East Top,NN 13731 65600,4,04A,916.6,3007,41,392,NN137656,213731,765600,,,,,,,,,,,TOP,213731,765600,56.744712,-5.0475383
180,356,"http://www.streetmap.co.uk/map?X=235669&Y=774381&SV=235669,774381&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 35669 74381,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=356,Stob Coire Sgriodain,NN 35669 74381,4,04B,979,3212,41,OL50 393,NN356743,235669,774381,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,235669,774381,56.831758,-4.6949291
181,360,"http://www.streetmap.co.uk/map?X=235935&Y=773883&SV=235935,773883&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 35935 73883,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=360,Stob Coire Sgriodain South Top,NN 35935 73883,4,04B,958,3143,41,OL50 393,NN359738,235935,773883,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,235935,773883,56.827383,-4.6902543
182,351,"http://www.streetmap.co.uk/map?X=237741&Y=774115&SV=237741,774115&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37741 74115,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=351,Chno Dearg,NN 37741 74115,4,04B,1046,3432,41,OL50 393,NN377741,237741,774115,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,237741,774115,56.830099,-4.6608424
183,357,"http://www.streetmap.co.uk/map?X=237107&Y=773051&SV=237107,773051&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37107 73051,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=357,Chno Dearg - Meall Garbh (old GR),NN 37107 73051,4,04B,975,3199,41,OL50 393,NN371730,237107,773051,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,237107,773051,56.820329,-4.67054
184,358,"http://www.streetmap.co.uk/map?X=237172&Y=772759&SV=237172,772759&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37172 72759,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=358,Chno Dearg - Meall Garbh,NN 37172 72759,4,04B,976,3202,41,OL50 393,NN371727,237172,772759,,,,,,,TOP,TOP,TOP,TOP,TOP,237172,772759,56.817732,-4.6692899
185,364,"http://www.streetmap.co.uk/map?X=237616&Y=769585&SV=237616,769585&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37616 69585,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=364,Beinn na Lap,NN 37616 69585,4,04B,935,3068,41,OL50 385W 393,NN376695,237616,769585,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,237616,769585,56.789404,-4.6600052
186,363,"http://www.streetmap.co.uk/map?X=241773&Y=766143&SV=241773,766143&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41773 66143,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=363,Carn Dearg,NN 41773 66143,4,04B,941,3087,42,385W,NN417661,241773,766143,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,241773,766143,56.759946,-4.589901
187,361,"http://www.streetmap.co.uk/map?X=244477&Y=767448&SV=244477,767448&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44477 67448,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=361,Sgor Gaibhre,NN 44477 67448,4,04B,955,3133,42,385E 385W,NN444674,244477,767448,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,244477,767448,56.772568,-4.5465121
188,365,"http://www.streetmap.co.uk/map?X=244360&Y=768323&SV=244360,768323&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44360 68323,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=365,Sgor Gaibhre - Sgor Choinnich,NN 44360 68323,4,04B,929,3048,42,OL50 385E 385W 393,NN443683,244360,768323,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,244360,768323,56.780382,-4.5489571
189,348,"http://www.streetmap.co.uk/map?X=244965&Y=773302&SV=244965,773302&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44965 73302,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=348,Beinn Eibhinn,NN 44965 73302,4,04B,1103.3,3620,42,OL50 393,NN449733,244965,773302,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,244965,773302,56.825269,-4.5420906
190,366,"http://www.streetmap.co.uk/map?X=243675&Y=772782&SV=243675,772782&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43675 72782,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=366,Beinn Eibhinn - Meall Glas Choire,NN 43675 72782,4,04B,924,3031,42,OL50 385E 393,NN436727,243675,772782,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,243675,772782,56.82017,-4.5628863
191,368,"http://www.streetmap.co.uk/map?X=243026&Y=773429&SV=243026,773429&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43026 73429,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=368,Beinn Eibhinn - Mullach Coire nan Nead,NN 43026 73429,4,04B,922,3025,42,OL50 393,NN430734,243026,773429,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,243026,773429,56.825758,-4.573906
192,347,"http://www.streetmap.co.uk/map?X=245786&Y=774190&SV=245786,774190&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 45786 74190,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=347,Aonach Beag,NN 45786 74190,4,04B,1115.8,3661,42,OL50 393,NN457741,245786,774190,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,245786,774190,56.833511,-4.5291897
193,346,"http://www.streetmap.co.uk/map?X=246992&Y=774629&SV=246992,774629&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 46992 74629,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=346,Geal-Charn,NN 46992 74629,4,04B,1132,3714,42,OL50 393,NN469746,246992,774629,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,246992,774629,56.83785,-4.5097087
194,353,"http://www.streetmap.co.uk/map?X=248969&Y=774386&SV=248969,774386&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 48969 74386,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=353,Geal-Charn - Sgor Iutharn,NN 48969 74386,4,04B,1028,3373,42,OL50 393,NN489743,248969,774386,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,248969,774386,56.836316,-4.4771924
195,352,"http://www.streetmap.co.uk/map?X=250416&Y=776444&SV=250416,776444&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 50416 76444,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=352,Carn Dearg,NN 50416 76444,4,04B,1034,3392,42,OL50 393,NN504764,250416,776444,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,250416,776444,56.855255,-4.4547088
196,369,"http://www.streetmap.co.uk/map?X=248715&Y=775779&SV=248715,775779&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 48715 75779,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=369,Carn Dearg - Diollaid a' Chairn,NN 48715 75779,4,04B,925,3035,42,OL50 393,NN487757,248715,775779,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,248715,775779,56.848736,-4.4821792
197,349,"http://www.streetmap.co.uk/map?X=247122&Y=778155&SV=247122,778155&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 47122 78155,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=349,Beinn a' Chlachair,NN 47122 78155,4,04B,1087,3566,42,OL50 393,NN471781,247122,778155,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,247122,778155,56.869538,-4.5096991
198,367,"http://www.streetmap.co.uk/map?X=248752&Y=781459&SV=248752,781459&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 48752 81459,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=367,Creag Pitridh,NN 48752 81459,4,04B,924,3031,34 42,OL50 OL55 393 401,NN487814,248752,781459,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,248752,781459,56.899725,-4.4849548
199,350,"http://www.streetmap.co.uk/map?X=250432&Y=781181&SV=250432,781181&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 50432 81181,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=350,Geal Charn,NN 50432 81181,4,04B,1049,3442,42,OL50 393,NN504811,250432,781181,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,250432,781181,56.897775,-4.457236
200,355,"http://www.streetmap.co.uk/map?X=250933&Y=781075&SV=250933,781075&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 50933 81075,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=355,Geal Charn - Sron Garbh,NN 50933 81075,4,04B,1023,3356,42,OL50 393,NN509810,250933,781075,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,250933,781075,56.896986,-4.4489568
201,345,"http://www.streetmap.co.uk/map?X=249616&Y=771855&SV=249616,771855&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 49616 71855,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=345,Ben Alder,NN 49616 71855,4,04B,1148,3766,42,OL50 385E 393,NN496718,249616,771855,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,249616,771855,56.81381,-4.465105
202,354,"http://www.streetmap.co.uk/map?X=251716&Y=771722&SV=251716,771722&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 51716 71722,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=354,Beinn Bheoil,NN 51716 71722,4,04B,1019,3343,42,OL50 385E 393,NN517717,251716,771722,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,251716,771722,56.81329,-4.4306623
203,362,"http://www.streetmap.co.uk/map?X=251305&Y=770437&SV=251305,770437&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 51305 70437,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=362,Beinn Bheoil - Sron Coire na h-Iolaire,NN 51305 70437,4,04B,956,3136,42,OL50 385E 393,NN513704,251305,770437,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,251305,770437,56.801626,-4.4366391
